id,question,option_a,option_b,option_c,option_d,correct_option
OIC-201-11-A,What is a key aspect of managing living donors in organ transplantation?,Ensuring the donor's medical history is thoroughly reviewed to identify any underlying pathologies,"The donation process involves a lengthy and invasive assessment, including a thorough interview with the potential donor",A specific set of psychological evaluations are conducted on living donors before they can be considered for transplantation,The medical assessment only considers minor cosmetic issues such as skin tone,option_a
OIC-201-02-A,What is the main difference between a kidney transplant and a corneal transplant?,"Kidney transplant involves removing the entire kidney, whereas a corneal transplant only removes the diseased part of the eye.",Both involve using stem cells from the patient's own body to grow new tissues.,"Heart valves and arteries are usually removed during a heart transplant, not used in a heart valve or artery transplant.",Skin transplants typically require surgical removal of damaged skin before grafting.,option_a
OIC-047-01-A,What is the age group of a child when they are still developing their teeth?,0-6 months,1-10 months,2 years to before puberty,After puberty,c
OIC-047-40-A,What is the main purpose of compulsory health examinations in children?,To identify potential health risks,To monitor growth and development,To prevent accidents and injuries,To detect mental disorders,option_a
OIC-047-24-B,When should an ultrasound be performed for congenital hip dislocation?,Immediately after follow-up,After 2-3 years of age,Up to 3 months,At birth or 6 hours old,c
OIC-047-17-A,What is the correct definition of dental caries?,The process of tooth decay caused by eating sugary foods and drinks.,A bacterial infection that causes teeth to rot from within.,A common childhood disease characterized by persistent coughing and congestion.,A natural process that leads to the hardening of tooth enamel.,a
OIC-047-34-A,What is the purpose of systematic health checks at school age?,To identify and treat physical or mental illnesses,To screen for social issues such as bullying,To provide a routine medical examination with no specific goal,To assess the child's athletic performance,option_c
OIC-047-21-A,What is the purpose of examining the hips at each follow-up visit?,To detect any potential developmental delays or issues,To analyze the child's weight gain over time,To assess the effectiveness of the mother's breastfeeding habits,To identify any signs of bone cancer in toddlers,a
OIC-047-03-A,What is a common age range for screening orthopedic anomalies in children?,Infants,Toddlers,Preschoolers,School-age children,b
OIC-047-10-A,What is the recommended age range for hearing screening in children?,6 months,9 months,24 months,36 months,b
OIC-047-14-A,What is a characteristic of deaf children?,They are not born with hearing loss.,Deafness is often caused by exposure to loud noises.,Deaf children have normal hearing in both ears.,The definition only considers the outer ear and middle ear.,option_a
OIC-047-13-A,When referring a child to an ENT specialist due to hearing concerns,A family history of deafness,Bilateral hearing loss,Crying instead of melodic sounds,Dysphagia,a
OIC-047-39-B,What is a common misconception about adolescents' physical examination?,Eating disorders are rare in adolescents,Adolescents with delayed puberty require only one follow-up visit,Physical examinations should be routine and mandatory for all adolescents,"The Higham score is used to assess menorrhagia severity in women, not adolescents",option_a
OIC-047-12-B,What is the primary purpose of a hearing screening in children?,To detect hearing loss due to auditory neuropathy,To assess the child's ability to respond to sound stimulation,To determine if the child has any existing dental problems,To evaluate the child's speech and language development,b
OIC-047-41-A,What percentage of children are victims of accidental deaths every year?,8%,10%,15%,20%,b
OIC-047-04-A,When is a systematic eye check recommended for children?,At birth,Every 2 months,Only at school medicine visits,After 5 years and 9 months of age,b
OIC-047-33-A,What is the main purpose of School Medicine?,To provide general medical care,To offer specialized treatments for specific illnesses,To focus on prevention and early intervention,To prioritize treatment over education,c
OIC-047-05-B,What is a common risk factor for amblyopia in children?,Deafness,Strabismus,Family history of cerebral palsy,"In utero exposure to toxic substances (cocaine, alcohol)",b
OIC-047-20-B,What is a common manifestation of a dental articulation disorder?,Open bite,Overlapping,Prognathia,Lateral deviation of the maxillary tooth,b
OIC-047-38-B,What is the main objective of a compulsory health examination for infants at age 8?,To identify and report any congenital anomalies,To assess the child's overall development and growth,To screen for lead poisoning,To provide vaccinations against BCG and HBV,a
OIC-047-09-A,What is a common sign of poor vision in infants?,Leukocoria,Strabismus,Torticollis,Nystagmus,option_a
OIC-047-15-B,What is the purpose of using Electroencephalography (EEG) in diagnosing hearing problems?,To measure brain activity related to sound processing,To detect changes in brain electrical activity due to ear infections,To assess cognitive development in children with hearing impairments,To evaluate the effectiveness of cochlear implants,option_a
OIC-047-36-B,What is the main purpose of compulsory systematic monitoring of infants and children?,Ensure financial support for health insurance coverage,Provide access to free healthcare services,Conduct random checks on children's development,Offer additional treatments for minor health issues,a
OIC-047-07-A,What is the recommended age range for referring a child to an ophthalmologist based on personal or family history?,3-12 months,1-2 years,18-24 months,None of the above,option_a
OIC-047-23-B,What is a congenital hip dislocation?,A congenital hip dislocation is characterized by abnormal mobility between the pelvis and femur.,Congenital hip dislocation occurs when a baby's joints are not fully formed during birth.,"Subluxation is a different condition, also affecting the hips but in a different way.",Hip luxable refers to an abnormal movement of the femur within the pelvis.,A
OIC-047-16-A,What is the primary purpose of using dental numbering systems in medical examinations?,To identify specific tooth structures,To classify different types of dental problems,To track the development of children's teeth,To record the number of teeth a child has at birth,b
OIC-047-26-B,What is the typical age range for diagnosing genu varum?,1-2 years,4-5 years,0.5-1 year,10+ years,b
OIC-047-06-B,What is the recommended age for performing a stereoscopic test with an infant?,0-1 month,2 months,After 4 years,9 to 15 months,b
OIC-047-25-B,What is a common complication of congenital hip dislocation that can be prevented by regular screening?,Early degenerative joint disease,Delayed development of the knee joint,Inadequate footwear,Regular exercise routine,option_a
OIC-047-37-B,"What is the purpose of creating three medical certificates accompanying compulsory monitoring of infants at 8, 9, and 24 months?",To provide a record of the infant's overall health status,To document specific vaccinations given to the infant,To draw up detailed records of dental issues in the infant,To report on hearing abnormalities,option_a
OIC-047-35-A,What is the main purpose of a compulsory health examination in children?,To ensure they are healthy and well,To provide information about their family history,To track their growth and development,To identify potential health problems early,d
