question,cop,opa,opb,opc,opd,subject_name,id,prediction
"A 25 yr. old comes in emergency with 2 1/2 months amenorrhea and abdominal pain and bleeding from vagina for 1 day. Her vitals are stable. On per speculum examination, mild bleeding is seen coming from the os. On per vaginal examination, the uterus is 10-week size, os is open and admits one finger. The most likely diagnosis is?",C,Threatened abortion,Missed abortion,Inevitable abortion,Incomplete abortion,Gynaecology & Obstetrics,daf85ff4-0579-4f98-b25c-d5359fef9845,C
"In Adenoids hyperophy, treatment is",A,Nasal decongestants,Antibiotics,B-blockers,B2-agonists,ENT,ac47df4c-9a66-44f9-b67b-16953833820d,A
"A young female has the following lab values: Hemoglobin=9.8 gm%, MCV=70, serum iron= 50ug/dl, serum ferritin =100ng/dl, the diagnosis is?",D,Thalassemia intermedia,Chronic iron deficiency anaemia,Megaloblastic anaemia,Anaemia of chronic infection,Medicine,51dc5e2c-d1cc-455b-a9df-28369606ca05,D
Side effects of fluoxetine are A/E,C,Weight gain,Sweating,Urinary retention,Diarrhoea,Psychiatry,ca50e85b-d5d1-4a92-8ac2-c085203d274c,C
Anemia of chronic disease is due to -,C,Vit B12 deficiency,Folate deficiery,Decreased utilization of stored iron,Chronic blood loss,Pathology,d22621e3-2199-4cb1-ad3e-d1a6875222b9,C
What is the cardiothoracic ratio in children is -,C,30-35%,40-45%,50-55%,60-65%,Pediatrics,f774b2c7-a101-424f-a115-2d6ab1183304,C
A patient with discharge per vagina was evaluated and on endocervical biopsy Chlamydia was found. Treatment to be given in this case is:,A,Azithromycin and contact tracing,Metronidazole only,Doxycycline and metronidazole,Azithromycin,Gynaecology & Obstetrics,af232a42-1e78-4f00-ab11-8966df52908c,A
Counter transference is:,C,A Type of defense mechanism,Psychic connection between patient and disease with transfer of psychic energy from body pas to brain,Implies doctor's feelings towards patient,Patient's feelings towards doctor during psychotherapy,Psychiatry,82aeb6d5-9c7a-4f24-b2de-610590854c78,C
Scarring alopecia is seen in:,D,T. capitis,Androgenic alopecia,Alopecia areata,Lichen planus,Skin,397ebbd6-20e6-43a9-85c9-a41e9585f296,D
Earliest sign of compartment syndrome of leg is:,D,Skin mottling,Loss of pulse,Tingling numbness,Pain on passive stretching of toes,Orthopaedics,569aff6d-7ee4-4c07-b5f9-19cb362811d9,D
Major androgen precursor from adrenal coex is,C,Testosterone,Dihydrotestosterone,DHEA,Androstenedione,Physiology,f274d242-929c-4e07-b8dd-fbdfd4f5a261,C
Type of collagen found in basement membrane -,D,I,II,III,IV,Physiology,5fd147f4-af9e-4b99-9f47-39d91b42304d,D
"A 37-year-old woman has noted an excessively heavy menstrual flow each of the past 6 months. She also has noticed increasing numbers of pinpoint hemorrhages on her lower extremities in the past month. Physical examination shows no organomegaly or lymphadenopathy. CBC shows hemoglobin of 14.2 g/dL, hematocrit of 42.5%, MCV of 91 mm3, platelet count of 15,000/ mm3, and WBC count of 6950/ mm3. On admission to the hospital, she has melena and after a transfusion of platelets, her platelet count does not increase. Which of the following describes the most likely basis for her bleeding tendency?",C,Abnormal production of platelets by megakaryocytes,Defective platelet-endothelial interactions,Destruction of antibody-coated platelets by the spleen,Excessive loss of platelets in menstrual blood,Pathology,966ac1e5-f2fb-43d2-bfce-e12c219119af,C
"A 45 years of female comes in OPD with a complaint of lump in right breast. On examination a lump of 5 x 5 cm is palpated. On general examination of the axilla lymph nodes are found to be normal in size, consistency and texture. What is the MOST likely diagnosis?",C,Ductal carcinoma,Comedo carcinoma,Angiosarcoma,Lobular carcinoma,Surgery,a91a8151-b065-44e1-a36c-a30b288e2469,A
"Most common complication, of talus fracture is",D,Avascular necrosis,Non union,Osteoarthritis of ankle joint.,Osteoarthritis of subtalar joint.,Orthopaedics,efd80ac7-89dc-4dfd-ac10-68a9cd63d6bd,A
Rupture of membrane is said to be premature when it occurs at:,C,38 weeks of pregnancy,32 weeks of pregnancy,Prior to 1st stage of labour,II stage of labour,Gynaecology & Obstetrics,a917d734-917a-4c18-acd9-66f80300eaa4,C
On Doppler the most ominous sign indicating fetal compromise is :,D,pulsatility index in umbilical aery,increased resistance in uterine aery,increased PSV in middle cerebral aery,Absent diastolic flow in umbilical aery,Gynaecology & Obstetrics,029567cd-6924-43bc-a76e-1ceaf89133db,D
Least likely to be Pre-leukemic condition is ?,B,Paroxysmal nocturnal hemoglobinuria,Paroxysmal cold hemoglobinuria,Aplastic anemia,Myelodysplastc syndrome,Pathology,29da9c44-4f02-4542-a886-0c45af71f856,B
Phase II block is seen in –,A,Sexamethonium (Sch),d–TC,Ether,N2O,Anaesthesia,d5f4e1f1-852d-4b1e-8a52-cfe992dba243,A
A 50-year-old fire fighter emerges from a burning house with third-degree burns over 70% of his body. The patient expires 24 hours later. Which of the following was the most likely cause of death?,C,Congestive heart failure,Disseminated intravascular coagulation,Hypovolemic shock,Pulmonary saddle embolism,Pathology,971cba03-d556-4abc-9715-d727625b977a,C
Normal respiratory minute volume is,A,Tidal volume X respiratory Rate,Tidal volume/ Respiratory Rate,TLC/ Respiratory Rate,FRC/ Respiratory Rate,Physiology,fe60d8f3-c6c2-4f0f-a340-b2c3b3b1b328,A
"In considering the process of eruption, the pre-functional eruptive stage of a tooth begins when the:",D,Bud stage begins,Cap stage begins,Bell stage begins,Dental lamina begins forming,Dental,4688afb9-1453-40b5-bcad-7f29455fcce4,C
"A patient was on treatment with trifluperazine for some time. He presents with complaint of hypehermia, lethargy and sweating. Needed investigations are",D,CT Scan brain & hemogram,"Hemogram, Electrolyte level and creatinine","ECG, Chest X-Ray and Hemogram","Hemogram, CPK and Renal Function Test",Psychiatry,26f091b9-f4f5-416d-85c0-1322967ed806,D
Harakiri means,D,Stabbing hea,Cutting the genitalia,Shooting in mouth,Stabbing in abdomen,Forensic Medicine,e1772c52-ed5d-4955-b32d-a015d507914c,D
The X-linked dominant one is,B,Fragile X syndrome,Vitamin D resistant rickets,Duchenne muscular dystrophy,Myotonic dystrophy,Pediatrics,f42749ae-4d1d-4eb9-8177-13e1d4fcb30f,B
"Sex worker with discharging ulcer, gram-negative diplococci & growth on modified
Thayer Martin media. Diagnosis",A,N. gonococci,Syphilis,LGV,Chancroid,Dental,f3bfd1ab-04f6-4254-93ad-cd18b7fa5897,A
Meniere's disease is -,B,Perilymphatic hydrops,Endolymphatic hydrops,Otospongiosis,Coalescent mastoiditis,ENT,abb96ba3-efe3-4a7f-8f9d-73ecf2607df5,B
Phenylbutyrate is used in urea cycle disorders because it,A,Scavenges nitrogen,Activates enzymes,Maintains renal output,Maintains energy production,Biochemistry,20f8f840-fc2f-4190-ba11-a43453b07b82,A
Restriction enzymes have been found in,B,Bacteriophages,Bacteria,Fishes,Humans,Biochemistry,bb74ae7f-dc39-4ef3-976c-3ad01aeec415,B
Imaging investigation of choice to Diagnose Mullerian duct Abnormalities?,C,USG,HSG,MRI,CT,Radiology,ec644422-da95-4caa-9f74-b3105940cde0,C
Which sensitizes the myocardium to catecholamines?,B,Nitrous oxide,Halothane,Isoflurane,Desflurane,Anaesthesia,0bc42ad2-2693-4cea-91f3-291b464cd9a8,B
A classical expansive lytic lesion in the transverse process of a veebra is seen in:,B,Osteosarcoma,Aneurysmal bone cyst,Osteoblastoma,Metastasis,Radiology,23440866-ec38-424c-98c2-e94559f079bb,C
Bagaiossis is seen in:,C,Cement factories,Textile industries,Sugar cane factories,Grain fields,Social & Preventive Medicine,e4daa554-dff4-4265-ae67-050f875c357f,A
The Nitrate which does not undergo first pass metabolism is -,A,Isosorbide mononitrate,Nitroglycerine,Pentaerythritol tetranitrate,Isosorbide dinitrate,Pharmacology,2bdf0281-affb-47f5-98bf-188640f204e4,A
5-year-old child with 20 kgs weight has a respiratory rate of 54 breaths/ minute. It is classified as which pneumonia: March 2013,B,No pneumonia,Pneumonia,Severe pneumonia,Very severe pneumonia,Pediatrics,d8e74227-3aff-4c04-9162-e68a0c736c01,B
A 62-yrs-old male presents to you with an acute onset of hemiparesis. CT scan reveals an increase in intracranial fluid. Which solution will be most effective in reducing intracranial pressure following a large hemispheric stroke?,D,150 mmol sodium chloride,250 mmol glycerol,250 mmol glucose,350 mmol mannitol,Surgery,0f0e6b74-1022-49db-bad9-f04aecee539e,D
Fleishner sign is characteristic of,D,Ulcerative colitis,Crohn's disease,Ischaemic colitis,Ileocecal tb,Radiology,3c6c2c2e-8453-4f5b-8a71-f125584b622b,D
"""Erotomania"" refers to:",D,Dread of the closed spaces,Dread of the strangers,Dread of the high places,"Common in women, that a man is deeply in love with them",Forensic Medicine,8605f12f-3bb7-4bf1-a861-5f39a6acd817,D
"Which of the following type of fracture is known as, ""fracture-a la signature""?",B,Gutter fracture,Depressed fracture,Ring fracture,Sutural fracture,Forensic Medicine,552e4aa6-766f-4208-9b9a-b3833e1843bf,B
The NBT (nitroblue tetrazolium) reduction assay is used to -,C,Evaluate granulocyte function,Evaluate T-cell function,Determine whether polymorphonuclear leucocytes can produce superoxide,Stain B-lymphocytes,Microbiology,72076ce0-4100-4487-8311-c114cf9301aa,C
Enzyme that can be traced in semen sample of 8 -10 weeks is:,D,Acid phosphatase test,ALP test,LDH,CPK enzyme,Forensic Medicine,0db5e6c7-acd9-4078-a7a5-a2a554ed52e4,A
Helper T-cells are primarily involved in -,A,Cell mediated immunity,Killing virus infected cells,Killing tumor cells,Involved in type II hypersensitivity,Microbiology,826e0cf2-46b2-408b-ab7c-479a5cf49183,A
The Chorda tympani nerve arises from which of the following cranial nerve?,D,The vagus nerve,The trigeminal nerve,The glossopharyngeal nerve,The facial nerve,Anatomy,6875744d-023a-46a2-ae90-e82a331953a5,D
"As per immunisation schdule, Hepatitis A vaccine is recommended at?",B,1 year,2 year,5 years,10 years,Pediatrics,210a9cfe-f83f-4089-949e-fb076dc0d4fc,A
The given clinical condition is due to involvement of nerve which is branch from which pa of brachial plexus,A,Root,Trunk,Division,Cord,Anatomy,121900d9-959a-4d08-a046-4b705dde214e,D
Most common catheter-related bloodstream infection is,D,Candida,Gram negative organisms,Coagulase positive staphylococci,Coagulase negative staphylococci,Microbiology,337fd94e-1aa2-4392-8650-a2bd6f6a20a6,D
Meningoencephalitis caused by which amoeba:,B,E. histolytica,Nageleria,Giardia,E.coli,Microbiology,fbba7bc8-79f1-498b-bb32-d392b940ffb4,B
Best investigation to differentiate scar from recurrence after mastectomy done for carcinoma breast,C,MRI,CT,PET Scan,Mammography,Anatomy,ab5b6ed7-a717-4328-8946-fe57fbc37fb4,A
"Per TCA with 3 NADH and 1 FADH2, generates how many ATP-",B,6,9,12,15,Biochemistry,23bbeaa8-bf60-4ab5-a9cb-270f7941006e,C
"A group of 4 teenagers while going for a trip met a car accident. Out of four, 3 people died on the spot. Surviving girl was admitted in an ICU for 3 months. After being discharged she often gets up in night and feels terrified. She says that she sees same events in her dreams. She is now afraid of the cars. The diagnosis is?",D,Anxiety disorder,Phobia,Conversion disorder,Post traumatic stress disorder,Psychiatry,b1909f0a-dfe3-4215-840f-9277bca539ce,D
Which one of the following acts as lung surfactant:,C,Sphingomyelin,Lysolecithin,Dipalmitoyl lecithin,Cephalin,Biochemistry,5b707b2f-c797-45e0-9d67-15ba11bdf095,C
Bleeding from the umbilicus in an adult female during menstruation is suggestive of -,B,Bleeding diathesis,Vicarious menstruation,Persistent urachus,Purpura,Surgery,ad4b80d0-822f-40d0-a524-baf8fa79d3ed,B
Condition where pulsatile tumor is found in external auditory meatus which bleed on touch,C,Cholesteatoma,Polyp,Glomus tumor,Malignancy middle ear,ENT,37c6c4bb-716b-4cc6-b75e-b48066ccb260,C
Edema over the mastoid is seen in -,B,Bell's Palsy,Lateral sinus thrombophlebitis,CSOM,ASOM,ENT,a25a15ee-016d-4676-ae76-21b5b2c76dd4,B
Which of the following drugs is used in sickle cell anaemia?,B,Hydroxyzine,Hydroxyurea,Hydralazine,Hydroxychloroquine,Pharmacology,dd4d3f33-c557-4ea9-9787-b3a06acc8243,B
Breast milk is rich in _____ when compared to cow's milk:,A,Lactose,Protein,Fat,Vitamin K,Pediatrics,5a099a13-9850-4190-aa9e-2fc93bfb0a6b,A
Which one of the following is the level of residual free chlorine recommended for swimming pool water disinfection ?,C,0.5 mgilitre,0.8 mg/litre,1 mg/litre,5 mg/litre,Social & Preventive Medicine,91dd0168-1b94-47e4-a28d-15cd1350061d,C
Hypercalcemia is NOT seen in -,B,Primary hyperparathyroidism,Tumour lysis syndrome,Multiple sclerosis,Sarcoidosis,Medicine,92d02631-6740-429f-bd53-f3b6e64175c3,C
Tinea versicolor is seen with,A,Pityrosporum orbiculare,Candida infection,Epidermophyton,Trichophyton,Physiology,471e1ab0-159d-4ea7-b686-92baffeb01c7,A
drugs acting tyrosin receptor is ?,C,TRH,TSH,INSULIN,MSH,Pharmacology,6541320e-c568-4e90-87d0-404927b2a253,C
Which of the following investigation contraindicated in retinoblastoma,C,CT,USG,FNAC,MRI,Ophthalmology,06931da3-ea5e-49dd-9189-26ee2912278f,C
Early diastolic notching of uterine aery disappears by which week of gestation?,C,20,21,22,24,Radiology,54e415d9-2edc-4dc0-bc09-678a39aaa046,D
The following drug is not used for the treatment of type II lepra reaction,C,Chloroquin,Thalidomide,Cyclosporine,Coicosteroids,Skin,44bc5f0b-cfba-4408-9878-3b8d71de46cb,A
"A 5-year-old with loose stools was treated with plan A, how much ORS should be given per stool for the kid",C,0-50ml,50-100ml,100-200ml,200-300ml,Pediatrics,d309d1a8-a5b6-43a2-9d39-1478296a3b2d,C
Which of the following is anaerobic non - acid fast bacilli:,D,Tuberculosis,Listeria,Nocardia,Actinomyces,Microbiology,e27b1751-ef40-4a3f-abb8-6f0d3dd9a381,D
A patient with hip dislocation with limitation of Abduction at hip and flexion and internal rotation deformity at hip and shortening. Diagnosis is:,C,Central dislocation,Anterior dislocation,Posterior dislocation,Fracture dislocation,Orthopaedics,950da181-d785-4ae3-82ee-b5f65c69c546,C
A person came to eye OPD for routine eye check u. On snellen's cha he was found to read 6/6. At what distance he should be able to read 6/24,B,36 m,24 m,6 m,1 m,Ophthalmology,36e14e63-17d2-43cd-bad1-5fd59c774d0d,A
"A newborn presenting with intestinal obstruction showed on abdominal X-ray, multiple air fluid levels. The diagnosis is not likely to be -",A,Pyloric obstruction,Duodenal atresia,Illeal atresia,Ladd s bands,Radiology,00646152-3ca0-4a34-8bca-1c24af980c41,A
Flower petal appearance in fundus flourescein angiography is in,A,Cystoid macular edema,Retinitis pigmentosa,Central serous retinopathy,Age related macular degeneration,Ophthalmology,16eeba5c-86de-46e9-bea6-ffa1467733db,C
Hardness of water has a beneficial effect against which one of the following-,D,Renal diseases,Metabolic diseases,Cerebrovascular diseases,Cardiovascular diseases,Social & Preventive Medicine,17a3947e-3fd8-4700-842b-99d28e2d84c3,D
Esthiomine is seen in,C,Chancroid,Granuloma inguinale,LGV,Syphilis,Dental,10701b01-e05e-45ae-9aae-2869013b0944,C
Which of the following is not a part of the growth relativity hypothesis?,D,Displacement of condyle,Nonmuscular viscoelastic tissue stretch,Force transduction beneath the fibrocartilage,Functional loading,Dental,d155b111-219a-4d41-b502-95d661b21a76,D
IPC 319 deals w ith -,A,Definition of hurt,Voluntarily causing hurt,Definition of grievous hurt,Voluntarily causing grievous hurt,Forensic Medicine,7e76865b-1528-47bd-8268-eac3498f524f,A
"A 24-year-old male presented with following lesion on his genitalia, following intercourse with multiple sexual partners, and multiple times. Which human papilloma virus is the causative agent?",A,"HPV 6, 11","HPV 16, 18","HPV 31, 33","HPV 35, 45",Skin,16662c1e-766d-4043-b2d1-c61a78a429c2,A
An infant presented to OPD with features of respiratory distress. The X-ray is shown below. The most probable organism is,A,S. aureus,S. pyogenes,Klebsiella,E.coli,Pediatrics,0fe6ab1a-91bb-4d56-8ecf-087a2c09f65e,C
Impotent female is having -,C,Gonadal dysgenesis,Hermaphrodits,Vaginismus,Absence of ovary,Forensic Medicine,f648c5a5-db4a-40f2-8466-a55dd5529bac,A
Which of the following hormones stimulates increased testosterone production by ovaries in PCOD,B,Estrogen,Luteinizing Hormone,Follicle - stimulating Hormone,Inhibin,Gynaecology & Obstetrics,9f18ccee-3313-4ccf-b6d3-b1b70d6b4672,B
Most impoant side effect of ethambutol is:,D,Hepatotoxicity,Renal toxicity,Peripheral neuropathy,Retro bulbar neuritis,Pharmacology,cd4708e0-009d-46a8-915e-83907ef56225,D
Nephrocalcinosis is seen -,A,Medullary sponge disease,Acute pyelonephritis,Acute glomerulonephritis,Chronic pyelonephritis,Medicine,09c0e314-a5df-4cf8-9291-5537424c6708,A
Which of following is hypeonic?,D,5%dextrose,0.45% normal saline,0.9%normal saline,3% normal saline,Anaesthesia,09cd14b2-8077-494c-ab3f-d03b8b758d2d,B
Best diagnosis of tracheo-oesophageal fistula is by:,C,Barium sulphate,Conray 240,Dianosil,Urograffin,Radiology,ac97d655-cdb1-478c-9917-93a66ed0cc1a,D
Coral red-fluorescence wood's Lamp seen in?,B,Porphyria cutanea tarda,Erythrasma,Livedo-reticulris,Hypomelanosis,Skin,42288d82-717e-424c-8f8a-6c3b6730b292,B
Which of the following is a weak bond -,D,Covalent bond,Peptide bond,Disulphide bond,Hydrophobic interactions,Biochemistry,2e424721-4b08-4898-8f74-2f16c87aeb7d,D
"In school water fluoridation programme, the level of fluoride as compared to the level in community water fluoridation is:",B,Less,More,Same,Depends on the mean weight of the children,Dental,777738fa-7d75-49e0-848e-b27ead393e83,B
Efficiency of pasteurization can be best assessed by?,B,Oxidase test,Phosphatase test,Catalase test,Indole test,Social & Preventive Medicine,39b2a812-cfbc-41b4-ade6-5434966f206e,B
"An oval lesion is found in the right lobe of the liver in an otherwise asymptomatic 24-year-old female. Surgical resection finds a single welldemarcated lesion that has a prominent, central, stellate white scar. This gross appearance is most consistent with a diagnosis of",B,Metastatic adenocarcinoma,Focal nodular hyperplasia,Hemangioma,Hepatocellular carcinoma,Pathology,a7161695-53b2-41be-a838-68cb6f03f6ea,B
