id,question,option_a,option_b,option_c,option_d,correct_option
OIC-201-08-B,What are the main classes of immunosuppressive drugs that target T lymphocytes?,Anti-lymphocyte antibodies,Therapeutic Class: Anti-hematopoietic antibodies,Mechanisms of Action:,"Purine Base Inhibition: Azathioprine, Mycophenolic acid, Corticosteroids",option_a
OIC-201-01-A,Which group of organ donors must be declared deceased before they can donate?,Donors in a state of brain death,Donors who have died of natural causes alone,Living donors,Donors who are critically ill with heart failure,option_a
OIC-201-10-A,What is the main ethical principle that guides organ donation in France? | ,Presumed consent,Free donation,Anonymity between donor and recipient, ,a
OIC-201-06-A,What is encephalic death?,A sudden loss of consciousness without any underlying medical condition.,"The end result of a successful organ transplant where the patient's immune system accepts the new organ, but at the cost of their brain tissue.",A reversible state where the brain is partially damaged and can be revived with treatment and support.,A temporary condition where the brain temporarily improves function before deteriorating again.,b
OIC-201-05-A,Which of the following statements is a key principle of organ procurement law?,The right to refuse an organ transplant,Anonymity between donor and recipient,Respect for individual autonomy,Prior consent from the patient,option_b
OIC-201-03-B,What is the primary reason for testing blood compatibility in organ transplantation?, ,To determine the patient's risk of rejection,To check if the recipient has a blood disease that could affect their immune system.,To identify patients who are receiving incompatible blood products.,b
OIC-201-07-B,What constitutes the total abolition of brainstem reflexes as part of clinical criteria for diagnosing encephalic death?,The presence of a partial seizure with incomplete recovery.,Abnormal blood pressure readings during the 30-minute electroencephalogram.,Total cerebral angiography showing cessation of venous return to the brain.,A temporary loss of consciousness due to external factors such as hypothermia or resuscitation efforts.,c
OIC-201-04-B,What is the primary goal in managing organ shortages?,Increase the number of available organs,Reduce the waiting period for patients awaiting transplants,Improve the quality of life for recipients through transplantation,Ensure compliance with medical and regulatory standards,option_a
OIC-201-09-B,What is a key characteristic of cerebral angiography in donors with a stopped heart?,Cerebral angiography shows cessation of blood flow through the brain.,Cerebral angiography shows an increase or decrease in blood pressure,Cerebral angiography does not show any visible signs of intracranial hemorrhage,Cerebral angiography is performed after all other diagnostic features have been confirmed,option_a
OIC-201-11-A,What is a key aspect of managing living donors in organ transplantation?,Ensure the donor's age is above 18 years,Use a random selection process for potential donors,The donation must be approved by both the medical professional and the President of the Judicial Court,A random lottery system prevents any bias in the approval process,C
OIC-201-02-A,What are the main types of organs that can be transplanted?,Kidney,Liver,Intestines,"Bones, tendons, ligaments, menisci",b
OIC-047-01-A,How old is a newborn? Choose the correct answer.,0-3 days,8 weeks,1 month and 15 days,6 years old,b
OIC-047-40-A,What is the main difference between infant mortality and morbidity in children?,Infant mortality and morbidity are measured separately,These two measures are closely linked,Only neonatal period data are used for each measure,Screening is mandatory for both measures,option_a
OIC-047-24-B,What is the recommended imaging modality for congenital hip dislocation in infants?,Ultrasound,CT scan,MRI,X-ray,b
OIC-047-17-A,What is the correct term for the 'destruction of tooth enamel and dentine'?,Dental Erosion,Tooth Enamel Decay,Gum Recession,Caries,b
OIC-047-34-A,What age are systematic health checks in school?,2,3,5,11-13 year old,b
OIC-047-21-A,What is the main purpose of taking regular examinations on the hips of infants and children?,To identify potential health issues early,To detect new signs of illness only after they have appeared,To monitor their development in relation to other body parts,To prevent them from falling down due to weak ankles,a
OIC-047-03-A,Which one of the following is a crucial aspect of a systematic question in the examination of a child according to age?,Establishing rapport with parents,Using common medical terminology,Taking a moment alone with teenagers,Following a routine protocol for health examinations,c
OIC-047-10-A,What is the correct age range for hearing screenings?,6 months,1 year,3 years and 9 months,4 years and 18 months,c
OIC-047-14-A,What percentage of deaf children have a moderate hearing loss?,20%,80%,40%,60%,b
OIC-047-13-A,What is the primary indication for referring a child to an ENT specialist?,Deafness,Language disorders,Absence of reaction to noises,Behavioral and social interaction problems,a
OIC-047-39-B,What is a key aspect of adolescence that should be assessed during follow-up examinations?,Eating disorders,Early or delayed puberty,Toxicology,Behavioral disorders in children and adolescents,b
OIC-047-12-B,What is the name of the test used to screen for hearing disorders in infants and children?,(1) Tympanometry,(2) Automated Auditory Evoked Potentials (AEO),(3) Voice Test,(4) Induced Acoustic Emissions (OEAP),(2)
OIC-047-41-A,What can be done to reduce accidents and injuries in infants?,Limiting screen time before bedtime,Keeping a regular sleep schedule,Eating more vegetables for health benefits,All of the above,option_d
OIC-047-04-A,Who is responsible for systematic eye check at birth?,Parent,Healthcare provider,School nurse,Government agency,option_a
OIC-047-33-A,What is the main purpose of School Medicine?,To educate students about health and wellness,To provide a platform for school administrators to make decisions,To ensure that each child receives individualized treatment plans regardless of their needs,To give parents more control over their children's medical care,option_c
OIC-047-05-B,What is the main risk situation for amblyopia?,Intrauterine exposure to certain infectious agents,Deafness,Malformation of the skull or face,Prematurity,b
OIC-047-20-B,Which of the following is NOT a characteristic of a dental articulation disorder?,Abnormal alignment of incisors,Prognathia,Open bite,Joint Disorder,b
OIC-047-38-B,What is included in a compulsory health examination for a child?,Medical history and vaccination records,Dental condition check,All the above,None of the above,c
OIC-047-09-A,What is one functional sign suggestive of poor vision in children?,Twitching of the eye muscles,A change in color sensitivity to light,An inability to track objects with eyes,A preference for bright lighting over dim lighting,option_c
